Product Name,Rating,Total Ratings,Price,Type,Platform,Categories
Women's Jacquard Semi-Stitched Lehenga choli,4,483,869,Lahenga,Amazon,Cloth
Omkar Tex's Designer Light Pink Lehenga Choli Set (Semistiched),4.1,18,"2,799",Lahenga,Amazon,Cloth
Women's Sequins Embroidered Georgette New Lehenga Choli with Dupatta (5061-Black-Wedding-Designer-New; Free Size),5,1,"2,769",Lahenga,Amazon,Cloth
Women's Leheriya Print Pure Georgette New Semi-Stitched Lehenga Choli With Dupatta (5049-Blue-Stylish-Wedding--New; Free Size),4.3,14,"2,698",Lahenga,Amazon,Cloth
"Women's Indian Traditional Unstitched Kanjivaram Kanchipuram Silk Pure Zari Weaving Lehenga Choli Along With Dupatta With Unstitch Blouse, Half Saree (HT_54)",3.9,45,899,Lahenga,Amazon,Cloth
Traditional Worked Lehenga Choli With Stitched Blouse and Cotton Dupatta Having Gotta Border Work (White),1,1,"1,589",Lahenga,Amazon,Cloth
WELLY Embroidered Semi Stitched Lehenga Choli Set (PURPLE1),3,1,"1,699",Lahenga,Amazon,Cloth
Letest Design chain embroderied Work Woman s Flered Lehenga choli.(Semi Stitched),3.1,98,799,Lahenga,Amazon,Cloth
Women`s Net Embroidered Semi Stiched Lehenga Choli(PL410_Pink_Free Size),3.5,43,629,Lahenga,Amazon,Cloth
Parth Fashion Womens/Girls Traditional Bandhani Bandej Kota Doria Ready to Wear Lehenga & Dupatta With Unstitched Blouse,2.5,2,"1,199",Lahenga,Amazon,Cloth
Baby Girl's Jacquard Readymade Lehenga Choli,4.2,"1,410",949,Lahenga,Amazon,Cloth
Binali Admire Pink Chinon Mirror With Embroidery Designer Lehenga Choli,1,1,"1,799",Lahenga,Amazon,Cloth
Women's Resham Sequins Mirror Work Georgette Lehenga Choli with Dupatta (5084-Pista-Wedding-Stylish-Latest; Free Size),4.8,6,"4,898",Lahenga,Amazon,Cloth
Swara's Embroidered Semi Stitched Lehenga Choli (PURPLE),3.7,122,"1,699",Lahenga,Amazon,Cloth
Womens Net Semi-Stitched Lehenga Choli With Dupatta Set,3.8,191,698,Lahenga,Amazon,Cloth
Women's Purple Faux Georgette Stitched Top with Bottom and Dupatta Full Sleeve Embroidered Flared Lehenga,5,1,"1,994",Lahenga,Amazon,Cloth
